Waldner Rudolf                Baumaschinenhandel                                                                        0000Rosentalerstrasse 145         A 9020  Klagenfurt                    001033
Wandaller Peter               Fern- und Nahtransporte                                                                   0000                              A 9861  Eisentratten 44               001034
Wenger GÅnther                Datenverarbeitung und         Informationstechnik                                         0000Franz Jonas Stra·e 5          A 9500  Villach                       002029
Johann Wernig KG.                                                                                                       0000Nr. 40                        A 9163  Unterbergen                   001044
Wernfried Wielitsch           Gesellschaft mbH                                                                          0000Walddorf 38                   A 9020  Klagenfurt                    001048
Wietersdorfer & Peggauer      Zementwerke                   Knoch, Kern & Co.                                           0000Ferdinand Jergitsch Stra·e 15 A 9021  Klagenfurt                    001051
Egger & Plessl                techn. Produkte                                                                           0000Laudonstra·e 37               A 9020  Klagenfurt                    001201
Englaro Internationale        Speditionsgesellschaft m.b.H. & Co KG                                                     0000Bahnhofstra·e 14              A 9500  Villach                       001197
Amatil GetrÑnke (Klagenfurt)  Gesellschaft m.b.H.                                                                       0000Feldkirchner Stra·e 147       A 9020  Klagenfurt                    001203
Wurzer Hans                   Zimmerei                                                                                  0000                              A 9220  Velden/See                    001127
Vallery Roland                SchlÅsselschmiede                                                                         000010. Oktober Stra·e 12         A 9100  Vîlkermarkt                   001131
Vereinigte KÑrntner           Brauereien Aktiengesellschaft.                                                            0000Brauhausgasse 6               A 9500  Villach                       001142
Ferrochema                    Eisen- und Stahl-Gro·handels  Gesellschaft m.b.H.                                         0000                              A 9800  Spittal/Drau                  001219
URBAS Maschinenfabrik         Gesellschaft m.b.H.                                                                       0000Billrothstra·e 7              A 9100  Vîlkermarkt                   001169
Flamex                        FeuerlîschgerÑte              Gesellschfat m.b.H.                                         0000Burgenlandstra·e 3            A 9500  Villach                       001223
VOEST-ALPINE Stahlhandel      Einicher AG                                                                               0000SÅdring 252                   A 9021  Klagenfurt                    001152
Gemeinde Krumpendorf                                                                                                    0000Hauptstra·e 145               A 9201  Krumpendorf                   001298
Gemeinde Seeboden                                                                                                       0000                              A 9871  Seeboden                      001307
Gemeinde St. Kanzian am       Klopeiner See                                                                             0000Klopeinerseestrasse 5         A 9122  St. Kanzian                   001309
Gitschthaler                  Handelsgesellschaft m.b.H.                                                                0000Widmanngasse 6                A 9500  Villach                       001311
Josef Wolte KG.                                                                                                         0000                              A 9132  Wildenstein                   001122
Gritschacher Hans             Sand- u. Schottergewinnung                                                                0000Trefflinger Stra·e 58         A 9871  Seeboden                      001323
Traussnig G.                  GÅter-Nah- und Fernverkehr                                                                0000SÅdtangente                   A 9400  Wolfsberg                     001190
Truskaller Josef              Reifenhandel                                                                              0000Tiroler Stra·e 9              A 9800  Spittal/Drau                  001196
